Item_ID,Length (cm),Width (cm),Height (cm),Weight (kg),Orientation,Priority,Quantity
1,80,60,60,122,1,5,10
2,85,55,55,108,1,4,9
3,75,60,50,95,1,3,10
4,100,65,50,135,1,5,8
5,90,70,55,149,1,3,8
6,95,60,55,123,0,5,5
7,105,65,65,162,0,1,9
8,90,55,50,95,1,4,9
9,105,65,50,123,0,5,7
10,95,60,60,135,1,2,8
11,80,70,55,95,1,3,8
12,75,65,60,81,1,5,10
13,80,60,60,67,1,4,8
14,110,65,50,148,1,3,8
15,70,60,40,60,0,5,12
16,65,60,35,54,0,4,10
17,120,70,55,162,0,2,6
18,95,65,45,108,0,3,8
19,80,70,60,81,1,2,9
20,100,60,45,95,1,4,9
21,90,70,55,75,1,1,11
22,75,65,65,54,1,3,12
23,110,70,50,108,1,5,8
24,100,60,60,122,0,4,8
25,80,55,65,95,0,2,9
26,70,65,55,68,1,3,14
27,105,65,60,95,1,5,9
28,90,55,60,68,1,4,9
29,105,60,55,108,0,2,10
30,95,60,50,95,1,1,9
31,105,65,65,122,0,3,9
32,70,60,60,81,1,5,10
33,70,55,45,68,1,5,12
34,90,55,60,81,0,2,9
35,80,60,55,81,1,5,12
36,70,60,50,68,0,4,10
37,110,70,65,162,1,3,6
38,90,65,55,68,0,4,12
39,70,60,60,95,1,1,10
40,85,55,65,81,0,5,9
41,110,70,50,148,1,2,8
42,100,60,60,108,1,4,8
43,85,65,60,87,0,1,10
44,90,60,50,75,1,3,9
45,105,65,65,122,0,5,9
46,90,55,45,95,0,4,12
47,70,65,55,60,1,3,18
48,120,65,60,135,0,2,6
49,95,65,50,108,1,3,10
50,75,70,60,81,1,5,8
51,85,60,65,95,0,1,8
52,80,60,55,81,1,5,10
53,70,60,50,68,0,2,12
54,105,70,65,122,1,4,9
55,85,65,60,95,1,3,10
56,80,60,55,68,0,4,12
57,95,65,65,95,1,2,10
58,120,60,55,135,0,3,8
59,85,60,55,95,0,5,9
60,90,65,60,95,1,4,9
61,105,55,45,95,0,3,8
62,85,60,55,95,1,5,10
63,95,65,70,122,1,2,9
64,70,60,55,68,0,4,12
65,80,55,60,81,1,3,10
66,105,65,55,95,0,2,9
67,85,60,60,81,1,4,10
68,105,60,50,95,1,1,10
69,80,65,60,81,0,5,12
70,90,60,50,68,1,2,12
71,70,65,60,54,1,4,14
72,95,60,50,95,0,3,10
73,110,60,55,122,1,5,10
74,80,65,65,81,1,3,10
75,85,65,60,81,0,4,12
76,95,55,60,95,1,2,9
77,80,60,50,54,1,1,12
78,90,55,65,81,1,2,10
79,105,60,45,95,0,3,8
80,95,55,70,122,1,5,9
81,105,60,60,95,0,4,8
82,70,60,55,68,1,3,12
83,90,60,55,95,1,4,10
84,105,65,50,95,1,2,10
85,110,60,45,81,0,3,8
86,85,65,60,95,1,4,10
87,95,55,55,81,1,5,8
88,90,60,50,68,0,2,9
89,85,65,55,81,1,3,10
90,105,70,50,95,0,4,9
91,70,60,50,68,1,2,14
92,95,65,60,122,1,3,9
93,85,65,55,95,1,5,8
94,105,60,65,95,0,4,10
95,95,70,50,81,1,3,10
96,85,60,55,81,0,2,12
97,90,65,60,95,1,5,9
98,105,60,50,95,0,4,9
99,110,70,65,122,1,3,10
100,85,60,55,95,1,5,12
